"id_marker";"date_time";"description";"latitude";"longitude";"statut";"type_marker_id";"user_id"
150;"";"Église catholique St Michel";5.4684946;-4.1859715;"1";1;0
151;"";"Église Méthodiste Unie Emmanuel";5.4694345;-4.186111;"1";1;0
152;"";"Église Évangélique des Assemblées de Dieu Yopougon gare";5.351517;-4.0742074;"1";1;0
153;"";"Église Méthodiste";5.3921011;-3.9309643;"1";1;0
154;"";"Église Évangélique";5.3914062;-3.9329744;"1";1;0
155;"";"Église Protestante Baptise Oeuvre et Mission de Angré";5.3939138;-3.9757076;"1";1;0
156;"";"Paroisse St Paul de Faya";5.3676283;-3.9360332;"1";1;0
157;"";"Paroisse Saint Jean Baptist d’Avocatier";5.4388556;-4.0312875;"1";1;0
158;"";"Eglise Catholique Saint Esprit Consolateur Anonkoua 3";5.4303331;-4.0397954;"1";1;0
159;"";"Paroisse Sainte Dorothée";5.4140872;-3.9874038;"1";1;0
160;"";"Siege de l'Eglise Protestante Baptiste Oeuvres et Missions";5.3315197;-4.0636983;"1";1;0
161;"";"CEFCA";5.386852;-3.975714;"1";1;0
162;"";"Notre dame de l'esperance";5.3741806;-3.938925;"1";1;0
163;"";"Eglise Réveil";5.4656034;-4.1874389;"1";1;0
164;"";"Église CMA de Port-Bouët II";5.3554396;-4.0909166;"1";1;0
165;"";"Assemblées de Dieu Temple des Oliviers";5.3745483;-3.9598833;"1";1;0
166;"";"Alliance Biblique Missionnaire";5.3717233;-3.9975013;"1";1;0
167;"";"Église Sainte Thérèse";5.3031388;-3.9865659;"1";1;0
168;"";"Mosquée Al Fourquane";5.3183267;-4.1120833;"1";1;0
169;"";"Le temple Sinaï";5.3014544;-4.0817189;"1";1;0
170;"";"Église Évangélique du Réveil Internationale de Bonoumin";5.3701859;-3.9712089;"1";1;0
171;"";"Mosquée de la Cité Eden";5.3286089;-3.9407481;"1";1;0
172;"";"Église catholique Notre Dame de Lourdes";5.3280444;-3.9164589;"1";1;0
173;"";"Église évangélique des assemblée de Dieu, temple de la vie";5.3302074;-3.9171013;"1";1;0
174;"";"Mission Évangélique du Buisson Ardent (Meba)";5.296869;-3.9544085;"1";1;0
175;"";"Grande mosquée de Koumassi";5.2917284;-3.9665763;"1";1;0
176;"";"Chapelle";5.3608836;-3.9476881;"1";1;0
